name,source_type,source_name,source_version,source_selection,source_selection_kind,source_selection_provider,source_catalog_version,source_catalog_digest,base,status,object_count,base_digest_role,object_digest,object_digest_role,source_record,objects,source_intent_status,materialization_status,inspection_evidence_state,inspection_result_state,materialization_evidence_state,materialization_result_state,destination_evidence_state,destination_result_state,post_deployment_evidence_state,post_deployment_result_state,flattening_verdict,lifecycle_requirements_status,route_intent_status,route_resolution_status,field_ownership_status,package_oci_ref,literal_config_oci_status,release_oci_status,policy_profile,resource_class,owner_class,change_cadence,classification_source,live_space
aicr-eks-h100-training-kubeflow-v0-14-0-argocd,aicr,eks-h100-training-kubeflow,v0.14.0,eks-h100-training-kubeflow,source-variant,NVIDIA AICR,,,argocd,partial,17,source-output-inventory,fc03b2950c81db63a4853424fcb30942e9ecf0e94e54f7474439421dcc254801,inventory-file,examples/aicr/eks-h100-training-kubeflow/argocd-oci-receipt.yaml,examples/aicr/eks-h100-training-kubeflow/argocd-rendered,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,recorded,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aicr-eks-h100-training-kubeflow-argocd:0.14.0,public-anonymous-pull-proved,base-variant-uploaded,catalog-standard,system-configuration,platform-team,planned-platform-release,,
aicr-eks-h100-training-kubeflow-v0-14-0-base,aicr,eks-h100-training-kubeflow,v0.14.0,eks-h100-training-kubeflow,source-variant,NVIDIA AICR,,,base,partial,29,source-output-inventory,6d3e39557e3274037fc57cc1ba437ea3c96d0b4f72effc7b037608bb44488104,inventory-file,examples/aicr/eks-h100-training-kubeflow/generation-receipt.yaml,examples/aicr/eks-h100-training-kubeflow/flux-oci-bundle,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,not-assessed,recorded,recorded,awaits-variant-and-target,partly-declared,,local-only,not-run,catalog-standard,system-configuration,platform-team,planned-platform-release,,
aicr-eks-h100-training-kubeflow-v0-19-0-argocd,aicr,eks-h100-training-kubeflow,v0.19.0,h100-eks-ubuntu-training-kubeflow,source-variant,NVIDIA AICR,,,argocd,partial,17,aicr-platform-index,0825f8ba4888da84810184289cb1b0e0313b11f8f7414a4e91bae37fff5b7b94,inventory-file,examples/aicr/eks-h100-training-kubeflow-v0-19-0/generation-receipt.yaml,examples/aicr/eks-h100-training-kubeflow-v0-19-0/argocd-rendered,recorded,captured,completed,available,completed,pass,blocked,blocked,not-run,not-run,flatten-with-routes,recorded,recorded,blocked,declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aicr-eks-h100-training-kubeflow-argocd:0.19.0,public-anonymous-pull-proved,published-and-pulled-by-digest,catalog-standard,system-configuration,platform-team,planned-platform-release,,
aicr-eks-h100-training-kubeflow-v0-20-0-argocd,aicr,eks-h100-training-kubeflow,v0.20.0,h100-eks-ubuntu-training-kubeflow,source-variant,NVIDIA,v0.20.0,sha256:676f2d59eacd79ae1b72e5cbe00216b577def1da412dbdabb032f317a62dc1d8,argocd,partial,17,aicr-platform-index,f2a4f9e60e872bf2266a8dc89a239e704b0dd5f77a643c3bdf9561a088de99cc,inventory-file,examples/aicr/eks-h100-training-kubeflow-v0-20-0/generation-receipt.yaml,examples/aicr/eks-h100-training-kubeflow-v0-20-0/argocd-rendered,recorded,captured,completed,available,completed,pass,blocked,blocked,not-run,not-run,flatten-with-routes,recorded,recorded,blocked,declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aicr-eks-h100-training-kubeflow/aicr-bundle:0.20.0,public-anonymous-pull-proved,published-and-pulled-by-digest,catalog-standard,system-configuration,platform-team,planned-platform-release,,
aqua-trivy-operator-0-32-1-default,helm,aqua/trivy-operator,0.32.1,default,catalog-preset,Config Workshop,,,default,available,33,helm-variant-revision,4728643a42924d6af2c0b2b4f1f616938c31b6271ed7e32bac2ce36e5e339a25,canonical-object-set,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-default.yaml,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,pending,pending,not-run,not-run,unsafe-to-flatten,gap,gap,gap,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:473c9b5a9803e80f6554db0cb7cd7f5c64c1ffdd1b04dd0216fdb4a657552ed0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
aqua-trivy-operator-0-32-1-no-crds,helm,aqua/trivy-operator,0.32.1,no-crds,catalog-preset,Config Workshop,,,no-crds,available,0,helm-variant-revision,875c8aa838c2841aeda6fbd5ffe95e4f7e2c6a36d64194715bb4039aff0ed492,canonical-object-set,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-no-crds.yaml,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,unsafe-to-flatten,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:473c9b5a9803e80f6554db0cb7cd7f5c64c1ffdd1b04dd0216fdb4a657552ed0,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
argo-cd-argo-cd-10-1-3-default,helm,argo-cd/argo-cd,10.1.3,default,catalog-preset,Config Workshop,,,default,available,55,helm-variant-revision,b2cbe21e58abbf285edb7710df9df299c93bb288293eed091ef7e24f83f850b5,canonical-object-set,data/helm-render-intents/intents/argo-cd-argo-cd-10-1-3-default.yaml,recipes/argo-cd/argo-cd/10.1.3/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:33eee3ec734e11dad3a95f8a4cba5999106a54b0dcc51a477b5cebe7e0d45a4e,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
argo-cd-argo-cd-10-1-3-no-crds,helm,argo-cd/argo-cd,10.1.3,no-crds,catalog-preset,Config Workshop,,,no-crds,available,52,helm-variant-revision,813fb156368c0a1588c666c9870f07e5441347d11af65a9d349161109ae1a5da,canonical-object-set,data/helm-render-intents/intents/argo-cd-argo-cd-10-1-3-no-crds.yaml,recipes/argo-cd/argo-cd/10.1.3/revisions/no-crds/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:33eee3ec734e11dad3a95f8a4cba5999106a54b0dcc51a477b5cebe7e0d45a4e,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
argo-cd-argo-cd-10-2-1-default,helm,argo-cd/argo-cd,10.2.1,default,catalog-preset,Config Workshop,,,default,available,55,helm-variant-revision,a2ba05a7684443115b1516e1b01a03ebe845cdfcf956722539ae0d3f5bff8780,canonical-object-set,data/helm-render-intents/intents/argo-cd-argo-cd-10-2-1-default.yaml,recipes/argo-cd/argo-cd/10.2.1/revisions/default/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:b933436ed879e10c1b684a2d5f89670a35e759264849ec7bfd7c2f2cec1dd5f8,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
argo-cd-argo-cd-10-2-1-no-crds,helm,argo-cd/argo-cd,10.2.1,no-crds,catalog-preset,Config Workshop,,,no-crds,available,52,helm-variant-revision,51d717634a2d0098d0791629aad974dc79b1ec0de68e4adfe00005de2003ca14,canonical-object-set,data/helm-render-intents/intents/argo-cd-argo-cd-10-2-1-no-crds.yaml,recipes/argo-cd/argo-cd/10.2.1/revisions/no-crds/r001/rendered/release-objects.yaml,recorded,captured,completed,available,completed,pass,not-run,not-run,not-run,not-run,flatten-with-routes,recorded,required-at-destination,awaits-variant-and-target,partly-declared,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:b933436ed879e10c1b684a2d5f89670a35e759264849ec7bfd7c2f2cec1dd5f8,not-published-in-this-record,not-recorded-for-this-base,catalog-standard,not-yet-classified,not-yet-classified,not-yet-classified,,
