chart,version,post_deploy_hooks,other_hooks,hook_status,generates_secrets,existing_secret,crds,no_crds_variant,webhooks,required_values,values_schema,install_vs_upgrade,notes,extension_slots,variants_built,buildable_not_yet_run,not_yet_enabled
aqua/trivy-operator,0.32.1,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
argo-cd/argo-cd,9.5.15,—,—,—,—,n/a,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,—,ha (curated proof lane — bespoke teaching needed)
argo-cd/argo-events,2.4.21,—,—,—,—,n/a,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
argo-cd/argo-rollouts,2.40.9,—,—,—,—,n/a,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
argo-cd/argo-workflows,1.0.14,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
argo-cd/argocd-image-updater,1.2.2,—,—,—,—,buildable — not yet run,yes,"NOT built — template-baked CRDs, no toggle (#114)",—,—,—,—,—,yes — per-use review,default,existing-secret (buildable — not yet run),"no-crds (template-baked CRDs, no toggle — #114)"
autoscaler/cluster-autoscaler,9.57.0,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
autoscaler/vertical-pod-autoscaler,0.9.0,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,—,—,—,—,n/a,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
bitnami/apache,11.4.29,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,yes — values.schema.json,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/contour,21.1.4,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),2,built,—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+no-crds,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/elasticsearch,22.1.6,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+ha,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/memcached,8.5.5,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/mongodb,19.0.7,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,existing-secret-replicaset+generated-passwords,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
bitnami/mysql,14.0.3,—,—,—,yes,built,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,yes — renders differ install vs upgrade,yes — NOTES.txt,—,existing-secret+generated-passwords,—,ha (curated proof lane — bespoke teaching needed)
bitnami/nginx,24.0.2,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,existing-tls-ingress+http-clusterip,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/opensearch,2.0.10,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,default+ha,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
bitnami/phpmyadmin,20.0.0,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/postgresql,18.6.7,—,—,—,yes,built,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,—,existing-secret+generated-passwords,—,ha (curated proof lane — bespoke teaching needed)
bitnami/rabbitmq,16.0.14,—,—,—,yes,built,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,yes — renders differ install vs upgrade,yes — NOTES.txt,—,existing-secret+generated-passwords,—,ha (curated proof lane — bespoke teaching needed)
bitnami/redis,25.5.3,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,yes — renders differ install vs upgrade,yes — NOTES.txt,—,default+reuse-existing-secret,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
bitnami/spark,10.0.3,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+ha,—,existing-secret (chart ships no Secret toggle — #113)
bitnami/zookeeper,13.8.7,—,—,—,yes,NOT built — chart ships no Secret toggle (#113),—,n/a (no CRDs),—,—,—,yes — renders differ install vs upgrade,yes — NOTES.txt,yes — per-use review,default+ha,—,existing-secret (chart ships no Secret toggle — #113)
cloudnative-pg/cloudnative-pg,0.28.2,—,—,—,—,buildable — not yet run,1,built,2,—,yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
