component,category,cluster,environment,cluster_type,selected_version,desired_version,observed_version,version_state,presence,delivery_state,confighub_sync_state,health_state,readiness_result,readiness_ready,readiness_desired,workload_state,proof_status,departure_id,departure_reason,unknown_reason,declared_overrides,render_object_count,render_sha256,evidence_scope,evidence
argo-cd,platform-component,hx-app-dev,dev,hub,argo-cd/argo-cd@10.2.1,10.2.1,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/argo-cd/values-repository-paths.yaml,86,3881930e58f377be7074eda757a17e304825a3104183f477cfadb4cb87c57bb8,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
argo-cd,platform-component,hx-app-staging,staging,spoke,argo-cd/argo-cd@10.2.1,10.2.1,Unknown,not-applicable,hub-managed,not-live-observed,Unknown,Unknown,unknown,,,Unknown,centralized,,,No accepted source-current mini-IDP live observation exists for this cell.,,0,,current hub/spoke config,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
argo-cd,platform-component,hx-app-prod-a,prod,spoke,argo-cd/argo-cd@10.2.1,10.2.1,Unknown,not-applicable,hub-managed,not-live-observed,Unknown,Unknown,unknown,,,Unknown,centralized,,,No accepted source-current mini-IDP live observation exists for this cell.,,0,,current hub/spoke config,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
argo-cd,platform-component,hx-app-prod-b,prod,spoke,argo-cd/argo-cd@10.2.1,10.2.1,Unknown,not-applicable,hub-managed,not-live-observed,Unknown,Unknown,unknown,,,Unknown,centralized,,,No accepted source-current mini-IDP live observation exists for this cell.,,0,,current hub/spoke config,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
cert-manager,platform-component,hx-app-dev,dev,hub,jetstack/cert-manager@v1.21.0,v1.21.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/cert-manager/values-kind.yaml,54,d42bd87d5d10982edf3d3c308769c3fba802df70bfca68e10600a76114e95ee7,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
cert-manager,platform-component,hx-app-staging,staging,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-staging/helm/cert-manager/values-kind.yaml,52,d7cc5ad406be55803cc8c8f267631812051d82dd649863a89f87c2db0ed0690d,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-staging/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
cert-manager,platform-component,hx-app-prod-a,prod,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-prod-a/helm/cert-manager/values-kind.yaml,52,27f69adde8d447b0294205f65d9d19685c987a4b2ad573271e3edbb239f0a75a,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-a/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
cert-manager,platform-component,hx-app-prod-b,prod,spoke,jetstack/cert-manager@v1.21.0,v1.21.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-prod-b/helm/cert-manager/values-kind.yaml,52,ddab0a44c5efc491c6132223fff6b88ecd2da5abdd77e73af1887f7593aef70a,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-b/cert-manager.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
external-secrets,platform-component,hx-app-dev,dev,hub,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,50,b90bd5215ed87a67cd9b2754f04865a20e40b805fe1349e93de25770b0a69292,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/external-secrets.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
external-secrets,platform-component,hx-app-staging,staging,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
external-secrets,platform-component,hx-app-prod-a,prod,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
external-secrets,platform-component,hx-app-prod-b,prod,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
homer-dashboard,platform-component,hx-app-dev,dev,hub,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/homer-dashboard/values-project-links.yaml,8,0810f86226a13a70f24a345af9560536f773f054fb75a7cbaf2202ab64858d2d,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/homer-dashboard.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
homer-dashboard,platform-component,hx-app-staging,staging,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
homer-dashboard,platform-component,hx-app-prod-a,prod,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
homer-dashboard,platform-component,hx-app-prod-b,prod,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
kube-prometheus-stack,platform-component,hx-app-dev,dev,hub,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,116,a9c778d0a46b42a05f4296c6ab34fc75c62a5fb1efd5e1906ab10a7a25edaf92,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/kube-prometheus-stack.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
kube-prometheus-stack,platform-component,hx-app-staging,staging,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
kube-prometheus-stack,platform-component,hx-app-prod-a,prod,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
kube-prometheus-stack,platform-component,hx-app-prod-b,prod,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
metrics-server,platform-component,hx-app-dev,dev,hub,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/metrics-server/values-kind.yaml,10,da40e4395191e57b4a67b579a9b9e171461e960d9df22ae108bf2d262fa65f69,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/metrics-server.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
metrics-server,platform-component,hx-app-staging,staging,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
metrics-server,platform-component,hx-app-prod-a,prod,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
metrics-server,platform-component,hx-app-prod-b,prod,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,not-applicable,disabled-by-config,not-selected,Unknown,NotApplicable,not-applicable,0,0,NotApplicable,disabled,,,,,0,,current config disables component,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml
traefik,platform-component,hx-app-dev,dev,hub,traefik/traefik@41.0.2,41.0.2,Unknown,selected-not-observed,rendered-intent,not-live-observed,Unknown,Unknown,unknown,,,Unknown,rendered-only,,,No accepted source-current mini-IDP live observation exists for this cell.,,33,d148dd3c8957c90d601a84d48a1d2755ea610312c4a985f8b4808b95bcfbf897,committed current effective render only,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml
